STFID,WHITE,MINORITY,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC
2.62E+11,27,711,683,2,1,0,0,17,8
2.62E+11,11,750,736,2,0,0,1,4,7
2.62E+11,36,1176,1149,3,0,0,4,17,3
2.62E+11,900,363,66,5,93,0,14,165,20
2.62E+11,95,1249,1207,2,5,0,3,22,10
2.62E+11,0,0,0,0,0,0,0,0,0
2.62E+11,705,58,31,1,1,0,5,3,17
2.62E+11,1107,38,1,1,20,0,0,2,14
2.62E+11,8,1085,1051,8,2,2,0,17,5
2.62E+11,568,327,108,6,96,0,13,93,11
2.62E+11,5,516,509,0,0,0,3,2,2
2.62E+11,26,979,941,3,0,0,5,14,16
2.62E+11,7,799,781,6,0,0,2,10,0
2.62E+11,1251,362,37,2,104,0,26,175,18
2.62E+11,6,1071,1044,0,0,2,0,14,11
2.62E+11,4,710,696,3,1,0,3,7,0
2.62E+11,12,981,958,0,0,0,5,8,10
2.62E+11,1399,79,7,0,21,1,1,4,45
2.62E+11,32,1446,1410,1,1,3,3,24,4
2.62E+11,95,670,644,3,0,0,3,19,1
2.62E+11,16,654,642,0,0,0,0,8,4
2.62E+11,263,1120,1063,6,5,2,6,15,23
2.62E+11,12,662,638,4,0,0,3,17,0
2.62E+11,14,730,709,0,0,0,1,15,5
2.62E+11,45,742,725,0,1,0,2,12,2
2.62E+11,946,40,5,1,5,0,0,14,15
2.62E+11,29,1207,1165,0,5,0,11,21,5
2.62E+11,37,870,855,10,0,0,0,3,2
2.62E+11,2,835,818,0,0,0,2,9,6
2.62E+11,25,747,719,5,1,0,4,9,9
2.62E+11,1274,55,10,1,8,0,3,9,24
2.62E+11,478,47,4,2,31,0,1,2,7
2.62E+11,4,761,743,5,5,0,0,6,2
2.62E+11,864,47,5,2,3,0,12,4,21
2.62E+11,972,31,2,1,5,0,1,5,17
2.62E+11,1342,59,5,1,16,0,6,19,12
2.62E+11,854,498,78,3,150,3,34,211,19
2.62E+11,998,42,3,1,11,0,4,5,18
2.62E+11,1462,71,4,5,32,0,1,14,15
2.62E+11,1179,54,0,8,16,0,1,6,23
2.62E+11,7,757,751,0,0,0,0,3,3
2.62E+11,24,273,273,0,0,0,0,0,0
2.62E+11,793,42,6,4,7,0,0,8,17
2.62E+11,16,958,943,2,1,0,0,6,6
2.62E+11,7,715,696,3,0,0,1,7,8
2.62E+11,3,791,776,0,1,0,1,6,7
2.62E+11,16,939,929,0,0,0,0,10,0
2.62E+11,31,282,279,1,0,0,0,1,1
2.62E+11,60,813,773,5,2,0,2,23,8
2.62E+11,496,399,45,5,116,0,15,211,7
2.62E+11,9,940,936,2,0,0,0,1,1
2.62E+11,6,743,726,1,1,0,1,13,1
2.62E+11,3,642,634,0,0,0,1,3,4
2.62E+11,7,648,605,0,0,0,8,18,17
